,c1,c2,resume_skill_text
675,37.93971,56.556442,521
676,37.907314,55.8707,522
677,31.944536,-10.843864,flow
678,35.10277,54.621914,523
679,36.465397,54.65037,524
680,37.60211,42.58235,525
681,35.56422,55.204338,526
682,36.203506,50.436768,527
683,35.11163,55.43476,528
684,41.548275,48.867306,529
685,38.252552,40.690582,530
686,32.662556,58.96194,531
687,36.419014,56.57005,532
688,36.376953,53.37789,533
689,36.335297,53.35575,534
690,36.914207,52.554867,535
691,36.426052,53.184658,536
692,35.382565,53.80021,537
693,35.04176,49.020027,538
694,34.945454,54.177647,539
695,37.65961,40.885235,540
696,31.755365,55.872017,541
697,38.181194,53.897423,542
698,38.230553,52.792107,543
699,33.816654,55.83782,544
700,38.106354,52.164,545
701,33.01852,55.434937,546
702,37.857212,52.430088,547
703,32.037327,56.63836,548
704,32.01121,55.957977,549
705,41.487564,36.17079,550
706,35.00886,56.668003,551
707,13.379909,-24.168987,allow
708,33.887524,56.100334,552
709,8.445874,3.0739708,users
710,34.433407,56.313816,553
711,-34.194565,9.11444,query
712,36.042103,57.722355,554
713,16.77416,-44.4729,faster
714,42.936504,43.337833,555
715,12.314236,-19.615227,provide
716,35.829975,57.64777,556
717,29.733032,-30.152668,advance
718,35.50877,58.173115,557
719,34.588337,57.338806,558
720,-25.241764,-30.354673,capabilities
721,33.185493,55.830338,559
722,37.43842,40.613785,560
723,-37.491917,-31.715487,design
724,33.34971,56.664692,561
725,36.742058,-26.046314,deploy
726,33.19425,57.093834,562
727,28.507215,-51.24713,phase
728,38.7278,50.749786,563
729,-38.03716,-50.86457,performed
730,33.007477,56.24482,564
731,9.990505,-33.82797,lot
732,36.37131,50.32645,565
733,33.99158,58.228664,566
734,1.8081448,3.0270326,restructuring
735,34.268383,58.857983,567
736,5.6125145,7.2584295,built
737,34.368847,59.179955,568
738,34.284775,58.898674,569
739,37.333298,40.57115,570
740,32.60718,57.592724,571
741,30.83546,57.2467,572
742,37.588615,57.650078,573
743,33.257122,56.568974,574
744,35.23811,44.423206,575
745,33.703873,51.39674,576
746,37.127575,59.214775,577
747,36.842808,50.442524,578
748,32.583763,58.805183,579
749,-36.58989,-0.58213794,analytical
750,37.405403,40.208435,580
751,35.55788,58.635956,581
752,31.76719,51.26254,582
753,32.141357,54.840614,583
754,32.177048,54.48664,584
755,34.803783,51.494358,585
756,28.408554,61.865204,586
757,32.249622,52.85122,587
758,32.951244,55.65865,588
759,33.38658,55.020645,589
760,37.24511,38.31706,590
761,32.850838,53.582703,591
762,32.6597,53.560852,592
763,33.882275,53.994488,593
764,33.12959,53.673428,594
765,35.236984,45.798218,595
766,33.385757,57.078957,596
767,27.171019,55.75348,597
768,29.130608,56.891197,598
769,37.82202,47.83171,599
770,42.47216,34.985023,600
771,31.46379,50.171455,601
772,31.563272,50.801334,602
773,31.44734,50.17819,603
774,31.447348,50.061462,604
775,29.237173,-39.415203,setting
776,31.913176,49.491634,605
777,30.298353,50.60924,606
778,31.072115,52.66225,607
779,-24.617275,6.2298675,modules
780,29.958391,52.71629,608
781,32.74543,60.716705,609
782,-9.339448,-28.97469,key
783,36.027164,39.05324,610
784,31.329964,54.144093,611
785,-8.190412,-7.472342,decomposition
786,33.456993,47.378124,612
787,-7.2047997,-59.60952,activities
788,39.7611,49.45569,613
789,32.354904,60.93878,614
790,73.89416,-16.803062,base
791,33.426216,46.890266,615
792,30.47174,54.959953,616
793,52.441093,10.338114,forecast
794,30.477468,54.779064,617
795,25.076822,65.59753,618
796,32.25382,-55.595364,course
797,31.585312,55.076557,619
798,-19.883204,-33.971996,developed
799,36.888462,40.80548,620
800,58.64689,47.18512,621
801,30.662376,56.394627,622
802,30.457802,55.89216,623
803,-37.99547,-49.275135,performance
804,30.528076,56.04802,624
805,4.5186844,4.966696,improvements
806,36.949936,42.91381,625
807,25.017353,47.444355,626
808,30.768394,61.181686,627
809,30.834703,61.165516,628
810,32.04782,60.923286,629
811,36.997715,40.750862,630
812,33.081017,62.925903,631
813,30.465214,60.21216,632
814,29.352661,59.688683,633
815,29.682034,59.405403,634
816,31.428461,47.213528,635
817,30.478497,59.009346,636
818,30.066153,58.93407,637
819,-4.896141,-33.947136,views
820,30.235233,58.83277,638
821,31.750652,57.87049,639
822,38.895046,40.14279,640
823,30.556763,59.72066,641
824,30.380476,58.515076,642
825,30.361725,57.90179,643
826,29.46047,58.784405,644
827,36.895473,44.25315,645
828,29.333933,55.35778,646
829,26.919735,55.12456,647
830,27.275196,54.904606,648
831,27.309086,54.70161,649
832,41.690914,35.75511,650
833,28.091064,53.833767,651
834,28.028002,55.78986,652
835,28.113977,55.796185,653
836,27.575499,55.578175,654
837,28.477674,54.493034,655
838,28.655836,58.991226,656
839,28.839659,56.172394,657
840,29.030416,55.94038,658
841,28.481764,55.601414,659
842,38.40493,39.297398,660
843,28.332912,59.383495,661
844,28.819944,54.53149,662
845,28.204899,54.583607,663
846,29.307812,54.00095,664
847,29.281948,53.86384,665
848,-18.226044,-32.84852,initiative
849,29.50009,53.438263,666
850,28.878124,53.987442,667
851,28.154602,56.90873,668
852,28.256716,57.957176,669
853,-25.820454,9.28268,interface
854,37.772503,41.18192,670
855,27.825838,57.67482,671
856,27.126377,58.133583,672
857,27.786957,57.738518,673
858,28.126177,61.929512,674
859,35.34375,44.217133,675
860,58.426907,21.129005,su
861,27.108261,58.19696,676
862,27.44491,58.080276,677
863,-18.82558,10.57298,segmented
864,27.299797,59.049347,678
865,26.524763,57.61739,679
866,68.59867,-4.8679895,five
867,37.31738,39.475845,680
868,-18.280897,-29.942116,core
869,26.212694,58.379547,681
870,34.511654,-33.791355,segments
871,26.622341,57.240593,682
872,26.145088,56.679,683
873,3.9435666,-18.988667,means
874,26.586233,58.586212,684
875,31.625374,45.256348,685
876,26.119188,60.552654,686
877,26.062077,60.932575,687
878,26.09761,60.56573,688
879,26.134712,59.975914,689
880,36.297745,39.838387,690
881,-37.02194,4.777786,algorithm
882,25.088215,59.789524,691
883,-19.983932,5.043995,categorize
884,26.581272,59.389725,692
885,-12.253533,-11.024289,defined
886,25.706871,58.651356,693
887,30.6546,8.702779,buckets
888,25.707659,58.673203,694
889,28.810163,47.168774,695
890,27.198645,52.72446,696
891,27.124697,56.576954,697
892,26.62658,57.013653,698
893,37.36754,48.003735,699
894,42.300674,35.08086,700
895,25.886843,50.793793,701
896,27.280806,50.483482,702
897,27.500626,49.87421,703
898,26.393835,50.979435,704
899,28.436806,50.673923,705
900,27.758892,51.406956,706
901,26.773623,42.939327,707
902,28.668825,-13.996878,reduce
903,37.705734,56.696064,708
904,-45.1825,-12.878304,manual
905,26.807142,52.060776,709
906,10.786653,-43.38895,effort
907,36.015503,39.515926,710
908,-38.1822,-9.043427,verifying
909,28.381039,51.51487,711
910,29.095226,-43.1228,closed
911,27.897108,51.465607,712
912,28.784132,-42.630608,open
913,27.722704,52.099968,713
914,3.9115658,22.912655,invoices
915,31.089558,64.46879,714
916,1.8507851,-1.6375239,manually
917,28.478537,50.707928,715
918,24.705484,53.800728,716
919,-3.5637672,-43.88585,decision
920,25.110928,53.293106,717
921,37.213543,-39.92398,tree
922,25.256014,53.4573,718
